"",,,Total Workers !! Estimate,Total Workers !! Margin of Error
geoid,destination_name,origin_name,b302100_e1,b302100_m1
C4300US3402136005,"Bronx County, New York","Mercer County, New Jersey",45,+/-61
C4300US3402136007,"Broome County, New York","Mercer County, New Jersey",30,+/-38
C4300US3402136047,"Kings County, New York","Mercer County, New Jersey",535,+/-216
C4300US3402136059,"Nassau County, New York","Mercer County, New Jersey",105,+/-92
C4300US3402136061,"New York County, New York","Mercer County, New Jersey","5,960",+/-647
C4300US3402136065,"Oneida County, New York","Mercer County, New Jersey",10,+/-20
C4300US3402136071,"Orange County, New York","Mercer County, New Jersey",20,+/-24
C4300US3402136081,"Queens County, New York","Mercer County, New Jersey",240,+/-103
C4300US3402136085,"Richmond County, New York","Mercer County, New Jersey",135,+/-102
C4300US3402136087,"Rockland County, New York","Mercer County, New Jersey",25,+/-37
C4300US3402136103,"Suffolk County, New York","Mercer County, New Jersey",10,+/-19
C4300US3402136119,"Westchester County, New York","Mercer County, New Jersey",10,+/-16
C4300US3402334001,"Atlantic County, New Jersey","Middlesex County, New Jersey",60,+/-46
C4300US3402334003,"Bergen County, New Jersey","Middlesex County, New Jersey","4,050",+/-563
C4300US3402334005,"Burlington County, New Jersey","Middlesex County, New Jersey","1,050",+/-274
C4300US3402334007,"Camden County, New Jersey","Middlesex County, New Jersey",390,+/-139
C4300US3402334009,"Cape May County, New Jersey","Middlesex County, New Jersey",20,+/-24
C4300US3402334011,"Cumberland County, New Jersey","Middlesex County, New Jersey",40,+/-39
C4300US3402334013,"Essex County, New Jersey","Middlesex County, New Jersey","13,790",+/-931
C4300US3402334015,"Gloucester County, New Jersey","Middlesex County, New Jersey",70,+/-71
C4300US3402334017,"Hudson County, New Jersey","Middlesex County, New Jersey","10,340",+/-913
C4300US3402334019,"Hunterdon County, New Jersey","Middlesex County, New Jersey","1,685",+/-311
C4300US3402334021,"Mercer County, New Jersey","Middlesex County, New Jersey","15,825",+/-884
C4300US3402334023,"Middlesex County, New Jersey","Middlesex County, New Jersey","240,675","+/-3,272"
C4300US3402334025,"Monmouth County, New Jersey","Middlesex County, New Jersey","19,480","+/-1,444"
C4300US3402334027,"Morris County, New Jersey","Middlesex County, New Jersey","6,070",+/-666
C4300US3402334029,"Ocean County, New Jersey","Middlesex County, New Jersey","1,345",+/-300
C4300US3402334031,"Passaic County, New Jersey","Middlesex County, New Jersey","1,775",+/-327
C4300US3402334033,"Salem County, New Jersey","Middlesex County, New Jersey",4,+/-11
C4300US3402334035,"Somerset County, New Jersey","Middlesex County, New Jersey","30,640","+/-1,350"
C4300US3402334037,"Sussex County, New Jersey","Middlesex County, New Jersey",15,+/-23
C4300US3402334039,"Union County, New Jersey","Middlesex County, New Jersey","26,275","+/-1,423"
C4300US3402334041,"Warren County, New Jersey","Middlesex County, New Jersey",160,+/-102
C4300US3402336001,"Albany County, New York","Middlesex County, New Jersey",10,+/-14
C4300US3402336005,"Bronx County, New York","Middlesex County, New Jersey",425,+/-175
C4300US3402336027,"Dutchess County, New York","Middlesex County, New Jersey",15,+/-21
C4300US3402336045,"Jefferson County, New York","Middlesex County, New Jersey",35,+/-52
C4300US3402336047,"Kings County, New York","Middlesex County, New Jersey","4,505",+/-531
C4300US3402336059,"Nassau County, New York","Middlesex County, New Jersey",325,+/-111
C4300US3402336061,"New York County, New York","Middlesex County, New Jersey","27,055","+/-1,257"
C4300US3402336071,"Orange County, New York","Middlesex County, New Jersey",90,+/-142
C4300US3402336081,"Queens County, New York","Middlesex County, New Jersey","2,230",+/-434
C4300US3402336085,"Richmond County, New York","Middlesex County, New Jersey","3,235",+/-468
C4300US3402336087,"Rockland County, New York","Middlesex County, New Jersey",230,+/-206
C4300US3402336093,"Schenectady County, New York","Middlesex County, New Jersey",45,+/-73
C4300US3402336103,"Suffolk County, New York","Middlesex County, New Jersey",30,+/-27
C4300US3402336117,"Wayne County, New York","Middlesex County, New Jersey",65,+/-70
C4300US3402336119,"Westchester County, New York","Middlesex County, New Jersey",365,+/-145
C4300US3402336123,"Yates County, New York","Middlesex County, New Jersey",30,+/-41
C4300US3402534001,"Atlantic County, New Jersey","Monmouth County, New Jersey",365,+/-201
C4300US3402534003,"Bergen County, New Jersey","Monmouth County, New Jersey","2,685",+/-455
C4300US3402534005,"Burlington County, New Jersey","Monmouth County, New Jersey","1,535",+/-318
C4300US3402534007,"Camden County, New Jersey","Monmouth County, New Jersey",305,+/-107
C4300US3402534009,"Cape May County, New Jersey","Monmouth County, New Jersey",280,+/-370
C4300US3402534011,"Cumberland County, New Jersey","Monmouth County, New Jersey",65,+/-51
C4300US3402534013,"Essex County, New Jersey","Monmouth County, New Jersey","5,530",+/-527
C4300US3402534015,"Gloucester County, New Jersey","Monmouth County, New Jersey",85,+/-61
C4300US3402534017,"Hudson County, New Jersey","Monmouth County, New Jersey","5,580",+/-585
C4300US3402534019,"Hunterdon County, New Jersey","Monmouth County, New Jersey",345,+/-123
C4300US3402534021,"Mercer County, New Jersey","Monmouth County, New Jersey","7,565",+/-683
C4300US3402534023,"Middlesex County, New Jersey","Monmouth County, New Jersey","28,650","+/-1,342"
C4300US3402534025,"Monmouth County, New Jersey","Monmouth County, New Jersey","206,370","+/-2,772"
C4300US3402534027,"Morris County, New Jersey","Monmouth County, New Jersey","2,970",+/-404
C4300US3402534029,"Ocean County, New Jersey","Monmouth County, New Jersey","13,600",+/-932
C4300US3402534031,"Passaic County, New Jersey","Monmouth County, New Jersey",860,+/-246
C4300US3402534035,"Somerset County, New Jersey","Monmouth County, New Jersey","4,695",+/-730
C4300US3402534037,"Sussex County, New Jersey","Monmouth County, New Jersey",65,+/-48
C4300US3402534039,"Union County, New Jersey","Monmouth County, New Jersey","8,300",+/-912
C4300US3402534041,"Warren County, New Jersey","Monmouth County, New Jersey",140,+/-73
C4300US3402536001,"Albany County, New York","Monmouth County, New Jersey",4,+/-3
C4300US3402536005,"Bronx County, New York","Monmouth County, New Jersey",280,+/-106
C4300US3402536043,"Herkimer County, New York","Monmouth County, New Jersey",15,+/-23
C4300US3402536047,"Kings County, New York","Monmouth County, New Jersey","3,145",+/-411
C4300US3402536055,"Monroe County, New York","Monmouth County, New Jersey",10,+/-14
C4300US3402536059,"Nassau County, New York","Monmouth County, New Jersey",420,+/-190
C4300US3402536061,"New York County, New York","Monmouth County, New Jersey","20,735",+/-983
C4300US3402536071,"Orange County, New York","Monmouth County, New Jersey",30,+/-43
C4300US3402536077,"Otsego County, New York","Monmouth County, New Jersey",15,+/-21
C4300US3402536081,"Queens County, New York","Monmouth County, New Jersey","1,095",+/-254
C4300US3402536083,"Rensselaer County, New York","Monmouth County, New Jersey",35,+/-35
C4300US3402536085,"Richmond County, New York","Monmouth County, New Jersey","3,785",+/-419
C4300US3402536087,"Rockland County, New York","Monmouth County, New Jersey",45,+/-43
C4300US3402536091,"Saratoga County, New York","Monmouth County, New Jersey",20,+/-34
C4300US3402536103,"Suffolk County, New York","Monmouth County, New Jersey",15,+/-18
C4300US3402536109,"Tompkins County, New York","Monmouth County, New Jersey",20,+/-26
C4300US3402536111,"Ulster County, New York","Monmouth County, New Jersey",35,+/-34
C4300US3402536119,"Westchester County, New York","Monmouth County, New Jersey",165,+/-97
C4300US3402734001,"Atlantic County, New Jersey","Morris County, New Jersey",50,+/-65
C4300US3402734003,"Bergen County, New Jersey","Morris County, New Jersey","13,695","+/-1,051"
C4300US3402734005,"Burlington County, New Jersey","Morris County, New Jersey",65,+/-58
C4300US3402734007,"Camden County, New Jersey","Morris County, New Jersey",65,+/-71
C4300US3402734009,"Cape May County, New Jersey","Morris County, New Jersey",10,+/-27
C4300US3402734011,"Cumberland County, New Jersey","Morris County, New Jersey",25,+/-34
C4300US3402734013,"Essex County, New Jersey","Morris County, New Jersey","21,155","+/-1,089"
C4300US3402734015,"Gloucester County, New Jersey","Morris County, New Jersey",45,+/-71
C4300US3402734017,"Hudson County, New Jersey","Morris County, New Jersey","4,670",+/-535
C4300US3402734019,"Hunterdon County, New Jersey","Morris County, New Jersey","1,360",+/-259
C4300US3402734021,"Mercer County, New Jersey","Morris County, New Jersey",605,+/-192
C4300US3402734023,"Middlesex County, New Jersey","Morris County, New Jersey","4,300",+/-503
C4300US3402734025,"Monmouth County, New Jersey","Morris County, New Jersey",470,+/-138
C4300US3402734027,"Morris County, New Jersey","Morris County, New Jersey","160,510","+/-2,824"
C4300US3402734029,"Ocean County, New Jersey","Morris County, New Jersey",195,+/-127
C4300US3402734031,"Passaic County, New Jersey","Morris County, New Jersey","10,645",+/-872
C4300US3402734035,"Somerset County, New Jersey","Morris County, New Jersey","11,160",+/-729
C4300US3402734037,"Sussex County, New Jersey","Morris County, New Jersey","3,495",+/-480
C4300US3402734039,"Union County, New Jersey","Morris County, New Jersey","9,825",+/-809
C4300US3402734041,"Warren County, New Jersey","Morris County, New Jersey","2,150",+/-344
C4300US3402736005,"Bronx County, New York","Morris County, New Jersey",165,+/-67
C4300US3402736045,"Jefferson County, New York","Morris County, New Jersey",10,+/-18
C4300US3402736047,"Kings County, New York","Morris County, New Jersey",830,+/-241
C4300US3402736055,"Monroe County, New York","Morris County, New Jersey",35,+/-55
C4300US3402736059,"Nassau County, New York","Morris County, New Jersey",150,+/-74
C4300US3402736061,"New York County, New York","Morris County, New Jersey","11,620",+/-639
C4300US3402736065,"Oneida County, New York","Morris County, New Jersey",30,+/-42
C4300US3402736067,"Onondaga County, New York","Morris County, New Jersey",4,+/-31
C4300US3402736071,"Orange County, New York","Morris County, New Jersey",70,+/-46
C4300US3402736081,"Queens County, New York","Morris County, New Jersey",660,+/-224
C4300US3402736085,"Richmond County, New York","Morris County, New Jersey",275,+/-104
C4300US3402736087,"Rockland County, New York","Morris County, New Jersey",850,+/-289
C4300US3402736103,"Suffolk County, New York","Morris County, New Jersey",40,+/-40
C4300US3402736117,"Wayne County, New York","Morris County, New Jersey",10,+/-14
C4300US3402736119,"Westchester County, New York","Morris County, New Jersey",455,+/-178
C4300US3402934001,"Atlantic County, New Jersey","Ocean County, New Jersey","4,310",+/-554
C4300US3402934003,"Bergen County, New Jersey","Ocean County, New Jersey","1,420",+/-266
C4300US3402934005,"Burlington County, New Jersey","Ocean County, New Jersey","4,985",+/-646
C4300US3402934007,"Camden County, New Jersey","Ocean County, New Jersey",655,+/-185
C4300US3402934009,"Cape May County, New Jersey","Ocean County, New Jersey",220,+/-123
C4300US3402934011,"Cumberland County, New Jersey","Ocean County, New Jersey",255,+/-164
C4300US3402934013,"Essex County, New Jersey","Ocean County, New Jersey","3,355",+/-545
C4300US3402934015,"Gloucester County, New Jersey","Ocean County, New Jersey",195,+/-119
C4300US3402934017,"Hudson County, New Jersey","Ocean County, New Jersey","2,410",+/-450
C4300US3402934019,"Hunterdon County, New Jersey","Ocean County, New Jersey",240,+/-95
C4300US3402934021,"Mercer County, New Jersey","Ocean County, New Jersey","8,550",+/-731
C4300US3402934023,"Middlesex County, New Jersey","Ocean County, New Jersey","10,000",+/-833
C4300US3402934025,"Monmouth County, New Jersey","Ocean County, New Jersey","44,160","+/-1,558"
C4300US3402934027,"Morris County, New Jersey","Ocean County, New Jersey","1,485",+/-320
C4300US3402934029,"Ocean County, New Jersey","Ocean County, New Jersey","168,275","+/-2,815"
C4300US3402934031,"Passaic County, New Jersey","Ocean County, New Jersey",595,+/-157
C4300US3402934033,"Salem County, New Jersey","Ocean County, New Jersey",70,+/-65
C4300US3402934035,"Somerset County, New Jersey","Ocean County, New Jersey","2,120",+/-358
C4300US3402934037,"Sussex County, New Jersey","Ocean County, New Jersey",20,+/-22
C4300US3402934039,"Union County, New Jersey","Ocean County, New Jersey","3,420",+/-449
C4300US3402934041,"Warren County, New Jersey","Ocean County, New Jersey",65,+/-63
C4300US3402936001,"Albany County, New York","Ocean County, New Jersey",15,+/-22
C4300US3402936005,"Bronx County, New York","Ocean County, New Jersey",120,+/-75
C4300US3402936007,"Broome County, New York","Ocean County, New Jersey",4,+/-31
C4300US3402936047,"Kings County, New York","Ocean County, New Jersey","1,325",+/-356
C4300US3402936059,"Nassau County, New York","Ocean County, New Jersey",145,+/-88
C4300US3402936061,"New York County, New York","Ocean County, New Jersey","3,710",+/-468
C4300US3402936071,"Orange County, New York","Ocean County, New Jersey",105,+/-77
C4300US3402936081,"Queens County, New York","Ocean County, New Jersey",250,+/-127
C4300US3402936083,"Rensselaer County, New York","Ocean County, New Jersey",4,+/-12
C4300US3402936085,"Richmond County, New York","Ocean County, New Jersey",595,+/-229
C4300US3402936087,"Rockland County, New York","Ocean County, New Jersey",165,+/-205
C4300US3402936091,"Saratoga County, New York","Ocean County, New Jersey",30,+/-23
C4300US3402936093,"Schenectady County, New York","Ocean County, New Jersey",10,+/-22
C4300US3402936103,"Suffolk County, New York","Ocean County, New Jersey",70,+/-79
C4300US3402936105,"Sullivan County, New York","Ocean County, New Jersey",45,+/-57
C4300US3402936111,"Ulster County, New York","Ocean County, New Jersey",45,+/-58
C4300US3402936119,"Westchester County, New York","Ocean County, New Jersey",25,+/-15
C4300US3403134003,"Bergen County, New Jersey","Passaic County, New Jersey","53,225","+/-1,955"
C4300US3403134005,"Burlington County, New Jersey","Passaic County, New Jersey",55,+/-47
C4300US3403134007,"Camden County, New Jersey","Passaic County, New Jersey",90,+/-81
C4300US3403134011,"Cumberland County, New Jersey","Passaic County, New Jersey",10,+/-15
C4300US3403134013,"Essex County, New Jersey","Passaic County, New Jersey","20,865","+/-1,388"
C4300US3403134015,"Gloucester County, New Jersey","Passaic County, New Jersey",110,+/-74
C4300US3403134017,"Hudson County, New Jersey","Passaic County, New Jersey","8,630",+/-772
C4300US3403134019,"Hunterdon County, New Jersey","Passaic County, New Jersey",135,+/-93
C4300US3403134021,"Mercer County, New Jersey","Passaic County, New Jersey",450,+/-146
C4300US3403134023,"Middlesex County, New Jersey","Passaic County, New Jersey","2,895",+/-450
C4300US3403134025,"Monmouth County, New Jersey","Passaic County, New Jersey",240,+/-107
C4300US3403134027,"Morris County, New Jersey","Passaic County, New Jersey","19,060","+/-1,475"
C4300US3403134029,"Ocean County, New Jersey","Passaic County, New Jersey",215,+/-119
C4300US3403134031,"Passaic County, New Jersey","Passaic County, New Jersey","116,040","+/-2,750"
C4300US3403134033,"Salem County, New Jersey","Passaic County, New Jersey",40,+/-44
C4300US3403134035,"Somerset County, New Jersey","Passaic County, New Jersey","2,210",+/-379
C4300US3403134037,"Sussex County, New Jersey","Passaic County, New Jersey",695,+/-206
C4300US3403134039,"Union County, New Jersey","Passaic County, New Jersey","2,985",+/-497
C4300US3403134041,"Warren County, New Jersey","Passaic County, New Jersey",55,+/-43
C4300US3403136005,"Bronx County, New York","Passaic County, New Jersey",940,+/-284
C4300US3403136027,"Dutchess County, New York","Passaic County, New Jersey",10,+/-16
